name,rate,rnk,median_earn
Loyola University Maryland,0.7919,252.0,82652.0
Art Center College of Design,0.7917,253.0,71958.0
St Lawrence University,0.7906,254.0,67258.0
Denison University,0.789,255.0,67753.0
Loyola Marymount University,0.7887,256.0,78349.0
Saint Joseph's University - Philadelphia,0.7884,257.0,86881.0
University of South Carolina-Columbia,0.7882,258.0,62177.0
Furman University,0.7876,259.0,68635.0
University of Vermont,0.7859,260.0,62472.0
Holy Apostles College and Seminary,0.7857,261.0,
John Carroll University,0.7855,262.0,62860.0
Spelman College,0.7846,263.0,59993.0
Manhattan School of Music,0.7832,264.0,26878.0
Drexel University,0.7816,265.5,84648.0
Rose-Hulman Institute of Technology,0.7816,265.5,101253.0
Dominican University of California,0.7805,267.0,84713.0
University of Central Florida,0.7801,268.0,58308.0
Longy School of Music of Bard College,0.7778,271.0,46543.0
Agape College of Business and Science,0.7778,271.0,
University of North Carolina School of the Arts,0.7778,271.0,38357.0
Pacific College of Health and Science,0.7778,271.0,26209.0
Lake Forest College,0.7778,271.0,61825.0
Duquesne University,0.7749,274.0,74742.0
Associated Beth Rivkah Schools,0.7746,275.0,17686.0
Hobart William Smith Colleges,0.7725,276.0,68831.0
Point Loma Nazarene University,0.7717,277.0,63998.0
College of Saint Benedict,0.7712,278.0,63260.0
Emerson College,0.7711,279.0,62832.0
Samford University,0.7704,280.0,58469.0
Wabash College,0.7701,281.0,69952.0
Clark University,0.7694,282.0,62381.0
Pacific College of Health and Science,0.7692,283.0,26209.0
Salve Regina University,0.7688,284.0,72975.0
Lawrence University,0.7677,285.0,55789.0
University of South Florida,0.7676,286.0,57743.0
Gustavus Adolphus College,0.7665,287.0,65607.0
Cambridge College of Healthcare & Technology,0.7647,288.0,47792.0
San Diego State University,0.7643,289.0,64909.0
University of St Thomas,0.7638,290.0,73739.0
Ithaca College,0.7623,291.0,63548.0
Virginia Military Institute,0.7621,292.0,77369.0
Yeshiva Chemdas Hatorah,0.7619,293.0,
Bradley University,0.7617,294.5,66852.0
Elizabethtown College,0.7617,294.5,62399.0
University of New Hampshire-Main Campus,0.7607,296.0,66479.0
Stonehill College,0.76,297.0,77745.0
Kalamazoo College,0.7598,298.0,65590.0
University of California-Riverside,0.7596,299.0,67699.0
Quinnipiac University,0.757,300.0,83759.0
The University of Texas at Dallas,0.7569,301.0,68227.0
School of Visual Arts,0.7568,302.0,46459.0
University of Denver,0.756,303.0,71155.0
Endicott College,0.7556,304.5,58336.0
Stony Brook University,0.7556,304.5,74502.0
Seattle University,0.7551,306.0,75272.0
American University,0.7549,307.0,77370.0
Ohio Northern University,0.7548,308.0,80928.0
Eastwick College-Ramsey,0.7547,309.0,51725.0
Franciscan University of Steubenville,0.7545,310.0,50030.0
Saint Johns University,0.7538,311.0,76786.0
Lewis & Clark College,0.7536,312.0,62205.0
University of Oklahoma-Norman Campus,0.7533,313.0,63126.0
Iowa State University,0.7532,314.0,63386.0
Assumption University,0.7523,315.0,74895.0
Illinois Institute of Technology,0.7521,316.0,82592.0
University at Buffalo,0.7518,317.0,70814.0
University of California-Santa Cruz,0.7509,318.0,68396.0
Temple University,0.7505,319.5,63727.0
Rollins College,0.7505,319.5,58295.0
American Medical Sciences Center,0.75,322.0,29972.0
Citadel Military College of South Carolina,0.75,322.0,72085.0
Southeast Missouri Hospital College of Nursing and Health Sciences,0.75,322.0,60918.0
Messiah University,0.7496,324.5,54064.0
University of Cincinnati-Main Campus,0.7496,324.5,54810.0
University of Missouri-Columbia,0.7494,326.0,63403.0
Clarkson University,0.7491,327.0,89696.0
Siena University,0.7473,328.0,76079.0
Illinois Wesleyan University,0.747,329.0,70871.0
DePauw University,0.7469,330.0,70527.0
University of Iowa,0.7463,331.0,64762.0
Rockhurst University,0.7456,332.0,67102.0
Appalachian State University,0.7453,333.0,51836.0
Niagara University,0.7451,334.0,56196.0
Florida International University,0.7443,335.0,60249.0
Saint Francis University,0.7439,336.0,62101.0
Principia College,0.7426,337.0,
Springfield College,0.7419,338.5,48036.0
University of Colorado Boulder,0.7419,338.5,69738.0
St. John Fisher University,0.7417,340.0,66944.0
Parker University,0.7407,341.0,42091.0
Calvin University,0.7406,342.5,58375.0
Massachusetts Maritime Academy,0.7406,342.5,82392.0
Southern California Institute of Technology,0.7404,344.0,53598.0
Drake University,0.7403,345.0,71901.0
The College of Wooster,0.7394,346.0,59629.0
The University of Tennessee-Knoxville,0.7392,347.0,60249.0
New Saint Andrews College,0.7391,348.5,
New Orleans Baptist Theological Seminary,0.7391,348.5,
Patrick Henry College,0.7386,350.0,
Taylor University,0.7381,351.0,52198.0
Yeshiva of Machzikai Hadas,0.7375,352.0,
High Point University,0.737,353.0,61389.0
San Francisco Conservatory of Music,0.7368,354.0,
Pratt Institute-Main,0.7354,355.0,54295.0
Juniata College,0.735,356.0,56918.0
Sacred Heart University,0.7346,357.0,75059.0
The New England Conservatory of Music,0.7339,358.0,34483.0
The University of Alabama,0.7337,359.0,59221.0
Dewey University-Juana Diaz,0.7333,360.0,19761.0
University of Rhode Island,0.7331,361.0,69743.0
Ursinus College,0.7328,362.0,73721.0
Casa Loma College-Los Angeles,0.7324,363.0,49854.0
Le Moyne College,0.7313,364.5,62731.0
Unitek College,0.7313,364.5,79550.0
University of Dallas,0.7307,366.0,58285.0
Loyola University Chicago,0.7304,367.0,71530.0
Augustana University,0.7297,368.0,59217.0
Holy Cross College,0.7289,369.0,50416.0
Augustana College,0.7286,370.0,62971.0
Wheaton College (Massachusetts),0.7282,371.0,67725.0
Southwestern University,0.7279,372.5,56878.0
Nazareth University,0.7279,372.5,56458.0
Saint Michael's College,0.7277,374.0,61317.0
New Jersey Institute of Technology,0.7276,375.0,84276.0
Good Samaritan College of Nursing and Health Science,0.7273,376.5,66111.0
Mirrer Yeshiva Cent Institute,0.7273,376.5,41192.0
Allegheny College,0.7255,378.0,62069.0
Cedarville University,0.7253,379.0,55443.0
Touro University,0.7239,380.0,53419.0
Hendrix College,0.7235,381.0,60376.0
Simmons University,0.7234,382.0,63494.0
Pima Medical Institute-Tucson,0.7229,383.5,38673.0
University of Tulsa,0.7229,383.5,61408.0
Maryland Institute College of Art,0.7224,385.0,45212.0
Herzing University-Kenosha,0.7222,386.5,36909.0
ATI College-Whittier,0.7222,386.5,38938.0
DeSales University,0.722,388.0,61295.0
Regis College,0.7217,389.0,52873.0
Lipscomb University,0.7216,390.0,55541.0
Cleveland Institute of Music,0.7213,391.0,32641.0
CUNY Bernard M Baruch College,0.7212,392.0,75971.0
Ringling College of Art and Design,0.7207,393.0,43325.0
George Fox University,0.7196,394.0,59761.0
Smith Chason College,0.7194,395.5,58004.0
Western Technical College,0.7194,395.5,36156.0
Monmouth University,0.719,397.0,67991.0
John Brown University,0.7179,398.0,53907.0
University of Mississippi,0.7174,399.0,50994.0
Misericordia University,0.7171,400.0,64313.0
Moravian University,0.7169,401.5,61860.0
University of Oregon,0.7169,401.5,61324.0
Marywood University,0.7165,403.0,55817.0
Christopher Newport University,0.7164,404.5,60509.0
American Musical and Dramatic Academy,0.7164,404.5,26975.0
Western Technical College,0.7163,406.0,36156.0
State University of New York at New Paltz,0.716,407.0,58073.0
