name,median_earn,rnk
Mid-America Christian University,46116,1316
Palo Alto College,37448,1812
Beckfield College-Florence,37114,1824
Landmark College,29813,2010
Collin County Community College District,48701,1162
ECPI University,42837,1519
South University-Columbia,34421,1919
Lac Courte Oreilles Ojibwe University,24302,2070
Platt College-Los Angeles,40669,1640
University of Massachusetts Global,65703,342
New College of Florida,48082,1198
Yeshivah Gedolah Rabbinical College,30667,1996
Caribbean University-Ponce,22842,2080
Caribbean University-Vega Baja,22842,2080
University of Advancing Technology,50719,1049
Paradise Valley Community College,47196,1254
South Florida Bible College and Theological Seminary,45354,1382
Pennsylvania College of Technology,52567,946
Stone Child College,24555,2065
California State University-San Marcos,62908,438
Nossi College of Art and Design,35113,1898
Bryan University,28725,2024
Fremont University,39003,1738
Yeshiva Gedolah Imrei Yosef D'spinka,36545,1852
CEM College-Humacao,21033,2091
Universal Technology College of Puerto Rico,19878,2098
Northwest College of Art & Design,31167,1988
University of Washington-Bothell Campus,78466,140
University of Washington-Tacoma Campus,78466,140
Valley College-Martinsburg,24900,2060
Pacific College of Health and Science,26209,2046
Center for Advanced Legal Studies,56561,714
Bay Mills Community College,30048,2005
Fond du Lac Tribal and Community College,45665,1350
Northwest Indian College,35447,1887
Provo College,39645,1701
Beacon College,29420,2018
University of the Potomac-Washington DC Campus,34961,1904
Everglades University,47597,1230
Herzing University-Orlando,36909,1831
College of Biblical Studies-Houston,39260,1719
The College of Health Care Professions-Northwest,33070,1948
Southern California Institute of Technology,53598,890
Soka University of America,55017,804
Schiller International University,35529,1885
Galen College of Nursing-Tampa Bay,61480,490
Galen College of Nursing-San Antonio,61480,490
Florida National University-Main Campus,33928,1937
South Texas College,36788,1842
California State University-Monterey Bay,59247,583
Capella University,42189,1559
College of Menominee Nation,25853,2050
Pacific College of Health and Science,26209,2046
Trine University-Regional/Non-Traditional Campuses,57165,681
Southeast Missouri Hospital College of Nursing and Health Sciences,60918,513
Messenger College,29463,2017
New York College of Health Professions,31601,1980
Northwest Vista College,42490,1538
Arizona College of Nursing-Tempe,34657,1911
Eastern International College-Jersey City,35008,1900
Pacific College,70064,257
Compu-Med Vocational Careers Corp,22226,2086
Embry-Riddle Aeronautical University-Worldwide,84131,98
Southeastern College-Boynton Beach,41200,1606
Strayer University-Maryland,40092,1672
Platt College-Ontario,40669,1640
American University of Health Sciences,93610,45
Career Networks Institute,45256,1387
Carolinas College of Health Sciences,64624,367
Western Governors University,60615,522
California Aeronautical University,38361,1764
Herzing University-New Orleans,36909,1831
Florida Gulf Coast University,54560,829
Ilisagvik College,39541,1709
Dewey University-Carolina,19761,2099
Los Angeles Film School,31632,1979
International Baptist College and Seminary,39556,1707
University of Connecticut-Waterbury Campus,73997,197
University of Connecticut-Avery Point,73997,197
University of Connecticut-Stamford,73997,197
University of Management and Technology,68530,286
Brookline College-Tucson,29576,2013
American InterContinental University-Atlanta,36144,1865
Cascadia College,54133,856
CBD College,37237,1819
The King's University,41471,1598
Pacific Islands University,20902,2094
PCI College,36141,1868
Atenas University,20231,2096
Pillar College,45577,1356
Oregon State University-Cascades Campus,64010,380
Smith Chason College,58004,649
American Institute of Alternative Medicine,40805,1630
Universidad Pentecostal Mizpa,21410,2088
Nevada State University,53166,916
California State University-Channel Islands,62152,463
Franklin W Olin College of Engineering,129455,5
Saint Joseph's University - Lancaster,86881,84
St Louis College of Health Careers-Fenton,32217,1969
University of Arkansas Grantham,63496,396
University of the Potomac-VA Campus,34961,1904
Pacific College of Health and Science,26209,2046
Faith International University,51006,1038
West Coast University-Texas,102672,24
Williamson Christian College,37474,1809
DigiPen Institute of Technology,79878,131
Dewey University-Hato Rey,19761,2099
InterCoast Colleges-West Covina,36089,1869
Miller-Motte College-Chattanooga,31102,1990
Strayer University-Tennessee,40092,1672
Strayer University-Pennsylvania,40092,1672
Brookline College-Albuquerque,29576,2013
ATI College-Whittier,38938,1741
Baptist University of the Americas,37709,1802
Nightingale College,27126,2036
American InterContinental University System,36144,1865
American InterContinental University-Houston,36144,1865
University of California-Merced,64368,371
Central Methodist University-College of Graduate and Extended Studies,48991,1145
Neumont College of Computer Science,97827,35
Johnson & Wales University-Charlotte,43418,1479
Ave Maria University,49520,1112
Cambridge College of Healthcare & Technology,28190,2030
ATA Career Education,34577,1914
Ecclesia College,40650,1646
Los Angeles College of Music,31758,1975
SAE Institute of Technology-Nashville,39544,1708
Stanbridge University,62144,464
Uta Mesivta of Kiryas Joel,31853,1974
Harrisburg University of Science and Technology,52374,953
Daytona College,26422,2042
Joyce University of Nursing and Health Sciences,49841,1088
Eagle Gate College-Layton,37518,1807
Georgia Gwinnett College,47730,1223
California Career College,51684,1004
SUM Bible College and Theological Seminary,35418,1890
Strayer University-Florida,40092,1672
Dewey University-Juana Diaz,19761,2099
American Public University System,44409,1431
Gnomon,114785,12
Visible Music College,35933,1873
South University-Tampa,34421,1919
Strayer University-Alabama,40092,1672
Rasmussen University-Wisconsin,39080,1729
Columbia Southern University,63534,395
Miami Regional University,29081,2021
Yeshivas Be'er Yitzchok,82560,115
Yeshiva Toras Chaim,62526,450
Talmudical Seminary of Bobov,22432,2085
Southwest University at El Paso,29648,2011
Bryant & Stratton College-Wauwatosa,32568,1958
Remington College-Shreveport Campus,31349,1987
ATA College-Cincinnati,34577,1914
Galen College of Nursing-Cincinnati,61480,490
Strayer University-North Carolina,40092,1672
Strayer University-New Jersey,40092,1672
Chamberlain University-Illinois,92405,51
Chamberlain University-Ohio,92405,51
Chamberlain University-Arizona,92405,51
Ottawa University-Online,55552,769
Laurus College,30896,1994
Cambridge College of Healthcare & Technology,47792,1220
The Chicago School at Los Angeles,56899,702
Providence Christian College,46264,1309
Polytechnic University of Puerto Rico-Miami,47540,1233
Polytechnic University of Puerto Rico-Orlando,47540,1233
Strayer University-West Virginia,40092,1672
University of Minnesota-Rochester,69020,273
Homestead Schools,59398,576
Chamberlain University-Florida,92405,51
Angeles College,49108,1139
University of Fort Lauderdale,38062,1787
Pacific Rim Christian University,40523,1653
City Vision University,21123,2090
West Coast University-Anaheim-Orange County,102672,24
West Coast University-Ontario,102672,24
Strayer University-Georgia,40092,1672
Strayer University-Mississippi,40092,1672
Strayer University-South Carolina,40092,1672
Strayer University-Texas,40092,1672
Unitek College,79550,133
Gurnick Academy of Medical Arts,66844,320
South University-Richmond,34421,1919
South University-Virginia Beach,34421,1919
Touro University Worldwide,40803,1631
Herzing University-Kenosha,36909,1831
Herzing University-Brookfield,36909,1831
Texas A&M University-San Antonio,54338,842
Strayer University-Global Region,40092,1672
Johnson & Wales University-Online,43418,1479
Chamberlain University-Virginia,92405,51
Crestpoint University,42269,1551
Carolina College of Biblical Studies,24581,2064
New York Film Academy,29633,2012
American Medical Sciences Center,29972,2006
John Paul the Great Catholic University,56930,697
University of Connecticut-Hartford Campus,73997,197
Ottawa University-Surprise,55552,769
Chamberlain University-Missouri,92405,51
Chamberlain University-Texas,92405,51
Dewey University-Manati,19761,2099
South University-Savannah Online,34421,1919
Criswell College,43185,1498
Chamberlain University-Georgia,92405,51
Chamberlain University-Indiana,92405,51
Be'er Yaakov Talmudic Seminary,17360,2105
Pennsylvania State University-World Campus,63435,400
South University-Austin,34421,1919
Bryant & Stratton College-Online,32568,1958
Platt College-Riverside,40669,1640
Rasmussen University-Kansas,39080,1729
Augusta University,48472,1174
Middle Georgia State University,40863,1629
DeVry College of New York,45987,1323
DeVry University-Arizona,45987,1323
DeVry University-California,45987,1323
DeVry University-Florida,45987,1323
DeVry University-Georgia,45987,1323
DeVry University-Illinois,45987,1323
DeVry University-Nevada,45987,1323
DeVry University-New Jersey,45987,1323
DeVry University-Ohio,45987,1323
DeVry University-Texas,45987,1323
DeVry University-Virginia,45987,1323
University of North Georgia,50135,1073
South Georgia State College,35697,1880
Arizona State University Digital Immersion,62668,445
University of Florida-Online,71588,233
University of Phoenix-Arizona,37752,1800
Georgia Military College,39257,1720
West Coast University-Miami,102672,24
Kennesaw State University,57552,665
Milligan University,46641,1288
Chamberlain University-Nevada,92405,51
Chamberlain University-Michigan,92405,51
Chamberlain University-New Jersey,92405,51
Arizona College of Nursing-Las Vegas,34657,1911
Husson University,45025,1399
Northwest University-Center for Online and Extended Education,54914,809
Indiana Wesleyan University-National & Global,59986,548
Purdue University Global,36596,1851
Carolina University,32864,1951
Purdue University Northwest,48318,1187
Platt College-Anaheim,40669,1640
EDP University of Puerto Rico-Villalba,22844,2077
Drury University-College of Continuing Professional Studies,40694,1635
Indiana Institute of Technology-College of Professional Studies,47327,1249
Evangel University-College of Online Learning,46573,1292
Commonwealth University of Pennsylvania,52416,950
Pennsylvania Western University,47295,1252
