name,median_earn,rnk
University of Saint Francis-Fort Wayne,55362,783
Saint Mary-of-the-Woods College,43845,1461
Saint Mary's College,59354,578
Taylor University,52198,966
Trine University,57165,681
Valparaiso University,63191,427
Vincennes University,41110,1613
Wabash College,69952,260
Briar Cliff University,54475,834
Buena Vista University,49156,1135
Central College,54317,845
Clarke University,55396,780
Coe College,57125,685
Cornell College,53460,897
Dordt University,52559,947
Drake University,71901,229
University of Dubuque,51190,1027
Emmaus Bible College,42631,1530
Faith Baptist Bible College and Theological Seminary,40650,1646
Graceland University-Lamoni,47361,1248
Grand View University,52824,932
Grinnell College,62830,441
Orion Technical College,37008,1829
Iowa State University,63386,422
University of Iowa,64762,365
Loras College,58289,632
Luther College,59850,557
Maharishi International University,27981,2033
Mercy College of Health Sciences,62234,457
Morningside University,55494,775
Mount Mercy University,60787,517
The University of Arizona Global Campus,35404,1891
University of Northern Iowa,55177,792
Northwestern College,49802,1090
Saint Ambrose University,59531,569
St Luke's College,61033,511
Simpson College,59274,581
Upper Iowa University,52766,935
Waldorf University,51165,1029
Wartburg College,56201,734
William Penn University,48936,1147
Baker University,63855,386
Benedictine College,53175,915
Bethany College,49694,1099
Bethel College-North Newton,49898,1086
Central Christian College of Kansas,44468,1427
Donnelly College,35715,1878
Emporia State University,47601,1229
Fort Hays State University,48928,1148
Barclay College,36355,1861
Friends University,52113,971
Haskell Indian Nations University,37043,1827
Hesston College,47495,1237
Concorde Career College-Kansas City,35242,1895
University of Kansas,61945,475
Newman University,55041,801
Kansas State University,57262,677
Kansas Wesleyan University,51152,1030
Manhattan Christian College,48860,1154
McPherson College,52084,973
MidAmerica Nazarene University,62972,433
Ottawa University-Ottawa,55552,769
Pittsburg State University,50579,1056
University of Saint Mary,59483,572
Southwestern College,55646,765
Sterling College,45846,1344
Tabor College,54058,861
Washburn University,49774,1092
Wichita State University,51532,1017
Alice Lloyd College,40573,1652
Asbury University,42368,1547
Bellarmine University,62069,472
Berea College,43150,1504
Brescia University,45500,1360
Campbellsville University,41583,1590
Centre College,66240,327
Clear Creek Baptist Bible College,41623,1588
Galen College of Nursing-Louisville,61480,490
University of the Cumberlands,45036,1397
Eastern Kentucky University,45795,1347
Georgetown College,52074,975
American National University-Louisville,28188,2031
Kentucky Mountain Bible College,21256,2089
Kentucky State University,36382,1860
Kentucky Wesleyan College,46747,1278
University of Kentucky,59025,594
Kentucky Christian University,42375,1546
Lindsey Wilson University,41129,1610
University of Louisville,53899,869
Midway University,44246,1443
Morehead State University,43197,1497
Murray State University,44737,1413
Northern Kentucky University,50220,1072
University of Pikeville,48231,1191
Spalding University,49438,1118
Sullivan University,38008,1790
Thomas More University,59384,577
Transylvania University,54705,824
Union Commonwealth University,42002,1570
Western Kentucky University,43889,1459
Centenary College of Louisiana,50330,1067
Dillard University,39196,1724
Grambling State University,41109,1614
Louisiana State University at Alexandria,42205,1555
Louisiana State University and Agricultural & Mechanical College,61251,506
Louisiana State University-Shreveport,47477,1242
Louisiana Christian University,51700,1003
Louisiana Tech University,52279,960
Loyola University New Orleans,52927,927
McNeese State University,46453,1304
University of New Orleans,47872,1212
Nicholls State University,45454,1361
University of Louisiana at Monroe,46769,1277
Northwestern State University of Louisiana,47021,1264
University of Holy Cross,49316,1127
Franciscan Missionaries of Our Lady University,59419,575
Saint Joseph Seminary College,38366,1763
Southeastern Louisiana University,46482,1301
Southern University and A & M College,43371,1485
Southern University at New Orleans,34042,1934
University of Louisiana at Lafayette,47089,1261
Tulane University of Louisiana,63268,424
Xavier University of Louisiana,52184,967
College of the Atlantic,40264,1663
Bates College,69498,268
Beal University,35639,1881
Bowdoin College,82735,111
Maine College of Health Professions,79840,132
Colby College,80490,127
University of Maine at Augusta,40342,1659
University of Maine at Farmington,44433,1429
University of Maine at Fort Kent,51077,1034
University of Maine,48653,1166
Maine Maritime Academy,89964,72
University of Maine at Presque Isle,40956,1621
University of New England,55921,751
Maine College of Art & Design,40778,1634
Saint Joseph's College of Maine,59045,593
University of Southern Maine,49958,1082
Thomas College,44991,1400
Unity Environmental University,37852,1795
University of Baltimore,61335,499
Bowie State University,54537,830
Capitol Technology University,85035,92
Washington Adventist University,64249,375
Coppin State University,46490,1300
Frostburg State University,55493,776
Goucher College,53023,924
Hood College,57089,689
Johns Hopkins University,87555,82
Loyola University Maryland,82652,113
University of Maryland Global Campus,65287,353
University of Maryland-Baltimore County,69960,258
University of Maryland-College Park,82860,109
Maryland Institute College of Art,45212,1389
